,filename,compStages,auxStages,Away %,Home %,Sleep %,Awake %,TOU %,Custom Schedule %,Smart Away %,Smart Home %,DR %,Hold %,TOU Event %,Custom Event %,Sq. Ft.,Floors,Age,Style,State,City
10,00334d705de2c34e93203e1a53570efd2ade83e8.csv,0,1,0,0.689623508,0.284511785,0,0,0.025864708,0.038739669,0,0.000994796,0.536510943,0,0.423754591,2500,3,50,other,NY,Cornwall
21,00d40735de0ee28b5025ad20459b07b6dcd8af7d.csv,0,2,0,0.606961615,0.364535638,0,0,0.028502747,0.002279838,0,0,0.097384386,0,0.900335775,2000,3,50,detached,NY,Rochester
25,00f7aefd3cdb14e6153dc8f22bc3e5cb7c33e13f.csv,0,1,0.520525546,0.179122422,0,0.097549246,0,0.202802785,0,0,0,0.048957371,0,0.951042629,6000,0,0,0,NY,Syracuse
27,00ffe3462e2eb04c17c1799011eb0871c2ba2bce.csv,0,1,0.300017218,0.346973523,0.324064509,0,0,0.028944751,0.019886364,0.102416208,0,0.181521656,0,0.696175773,1500,2,15,semiDetached,NY,New York
30,010d0b70409e04d97ffb435f4e74ea60e5da2fe6.csv,0,1,0,0.683312347,0.238162012,0,0,0.078525641,0,0,0,0.541819292,0,0.458180708,1500,3,90,townhouse,NY,Buffalo
42,0182e39cd0d09f7cc4b05974fc94f258329c6aef.csv,0,1,0,0.60314447,0.39257204,0,0,0.004283489,0.000129803,0,0,0.936883437,0,0.06298676,2501,3,9,Detached,NY,Farmingdale
45,01973a7aea32fe44f10b58d2fbf6711de8a4a5df.csv,0,1,0,0.719530835,0.212171053,0,0,0.068298113,0.002724615,0,0,0.897544524,0,0.099730861,2500,3,90,multiPlex,NY,Yonkers
51,01c73f07fd100601027d5ae0f5165bd29e1bca25.csv,0,2,0.066928757,0.258819253,0.650233395,0,0,0.024018595,0.002793082,0.000373049,0,0.076417585,0,0.920416284,10000,1,50,other,NY,Hauppauge
60,01f18a3973b4177c326f0ff164193181ab69910c.csv,0,1,0.232678521,0.313859185,0.424486363,0,0,0.02897593,0.029456526,0.069946734,0,0.002683327,0,0.897913413,1500,2,20,other,NY,Dolgeville
70,023b93eaaa49976b55a67164b69f389a0510b8fa.csv,0,1,0,0.683807775,0.281642179,0,0,0.034550046,0,0,0,0.575499311,0,0.424500689,2000,3,60,rowHouse,NY,Fresh Meadows
84,027d32d797d944a98c9688ccab7588cf89358e83.csv,0,1,0,0.575339591,0.395442231,0,0,0.029218178,0.015376984,0,0,0.233459249,0,0.751163767,1000,2,7,,NY,Maspeth
86,0286c06d6300a0cdd836973d731d736c1000e68e.csv,0,2,0,0.2170767,0.760492041,0,0,0.022431259,0,0,0,0.977568741,0,0.022431259,2000,2,37,other,NY,Rochester
89,02997394a3506769e047fd411b35c4044bcec82d.csv,0,1,0,0.513651762,0.472831978,0,0,0.01351626,0,0,0,0.300982385,0,0.699017615,2000,1,45,Other,NY,Rhinebeck
93,02ad349f5764c5497449a22f986df7ace8bcd640.csv,0,1,0,0.717611723,0.257728803,0,0,0.024659474,0,0,0,0.55418771,0,0.44581229,1900,5,0,townhouse,NY,New York
100,02d5e9fa113a5b54f3f29e5c1ab28ca33365e509.csv,0,1,0.141404576,0.526830808,0.301241582,0,0,0.030523033,0.160937022,0.027672559,0,0.046640649,0,0.76474977,2000,3,80,other,NY,Rochester
101,02d8b81e4bb197203d55891732fa5561117b6eb4.csv,0,1,0,0.55808341,0.410962302,0,0,0.030954289,0,0,0,0.370898199,0,0.629101801,2000,2,15,townhouse,NY,Wappingers Falls
102,02d9755d9c50372b3e24cae4f382919532c0c5a9.csv,0,1,0,0.260173514,0.347407018,0,0,0.392419468,0.01936469,0,0,0.021183473,0,0.959451836,2500,2,25,detached,NY,Monroe
103,02dc8786395df1520a7872a38c4fd1f9223cfbff.csv,0,1,0.974556168,0,0,0,0,0.025443832,0,0,0,0.972423095,0,0.027576905,2000,2,25,detached,NY,Riverhead
105,02dd64cc648398aaf99b34c69ab99cde36f0248a.csv,0,1,0.406078297,0.24208257,0.323689332,0,0,0.028149802,0.063234509,0.144984356,0,0.02045177,0,0.771329365,3000,2,50,detached,NY,Massapequa
111,031b1e4ec964ebe747a61a7fb4b52d57f2dfc3e0.csv,0,2,0,0.686433233,0.282484103,0,0,0.031082664,0,0,0,0.046268407,0,0.953731593,0,0,0,,NY,Mountain View
117,03410b077064f0570f94241ceb976f9b60510f60.csv,0,1,0,0.633579619,0.336411902,0,0,0.030008479,0.014161418,0,0,0.659389131,0,0.326449451,0,0,0,,NY,Chester
127,03a5f29e5dfa0e349e3e0cd47628035c6afbbec1.csv,0,1,0.08652816,0.372656489,0.336968167,0,0,0.203847184,0.014539333,0.0474824,0,0.295741506,0,0.642236762,3000,3,120,detached,NY,Troy
128,03a9110d52da16c510604cd1bac954ddb98e9e2c.csv,0,1,0,0.510609568,0.337635031,0,0,0.151755401,0.055623071,0,0,0.010329861,0,0.934047068,2500,2,20,detached,NY,Monroe
132,03c07ffbca7fe17aa27be12a38c641315c73fe8e.csv,0,1,0.188329899,0.500562805,0.282976572,0,0,0.028130723,0.02559333,0.069978632,0,0.018563034,0,0.885865003,4000,3,50,detached,NY,Massapequa Park
135,03faf8d14ab9e8ffbda6c5c92d7db6680d435184.csv,2,1,0.025297619,0.403693529,0.294957647,0,0,0.276051206,0.008671016,0.009605846,0,0.133203602,0,0.848519536,2500,2,35,detached,NY,Poughkeepsie
136,040f3c34c4c9abb8e69ed90f53363b61c5e11579.csv,0,1,0,0.565762209,0.409666219,0,0,0.024571573,0.177461358,0,0,0.020861335,0,0.801677307,2001,2,39,Semi-Detached,NY,Valatie
139,04298859a701a37b1a86a24d6256a824e0e2015b.csv,1,1,0.216129094,0.325575834,0.354922329,0,0,0.103372743,0.012884527,0.080157637,0,0.56262435,0,0.344333486,4000,2,20,detached,NY,North Salem
140,04324ec03434d00222d62879e4d18b6f02d62f4f.csv,0,1,0.302999084,0.331635379,0.336175977,0,0,0.02918956,0.005799756,0.070961157,0.001965049,0.035742903,0,0.885531136,2000,2,0,rowHouse,NY,Astoria
143,044cef4c17414ca20c24fbd142609a56008817f4.csv,0,1,0,0.286923883,0.22390014,0,0,0.489175978,0.001212368,0,0,0.032268389,0,0.966519243,3000,3,5,detached,NY,Northport
148,0484a4ebb8d57e86bd9075b6449fff8c3789cb9a.csv,0,1,0,0.688563485,0.283278983,0,0,0.028157532,0,0,0,0.934539487,0,0.065460513,4000,4,90,townhouse,NY,New York
153,04bca3dc42bac46f5bc9665a576944b525b7205e.csv,0,1,0.146627257,0.283143939,0.537247475,0,0,0.032981328,0.015668044,0.03834749,0,0.040461433,0,0.905523033,3000,2,10,detached,NY,East Aurora
160,0511c4f43c7fc0bcb31001e5b7b1a750c7a13597.csv,0,1,0,0.711614073,0.275709763,0,0,0.012676164,0.04442402,0,0,0.195886949,0,0.759689032,4001,2,29,Detached,NY,Bedford
163,0518d898805afaebc6331906e7d0751e4537d441.csv,0,1,0,0.682545148,0.292451025,0,0,0.025003826,0,0,0,0.175992883,0,0.824007117,2500,2,50,detached,NY,Islip
169,0550a577c882695a0a434820eac94d4064357374.csv,0,1,0,0.41703015,0.386019284,0,0,0.196950566,9.57E-06,0,0,0.156862182,0,0.843128252,2500,3,10,detached,NY,Gansevoort
171,0554c6a4954cfa5f53832813e5962990a863ad2e.csv,0,2,0.257991759,0.390067231,0.330427239,0,0,0.021513771,0.008035133,0.017111256,0,0.221296899,0,0.753556712,1000,1,80,detached,NY,Mount Pleasant
172,05566d41527ee6e8e04838aa3da332832bbbbd95.csv,0,2,0.266089006,0.416197447,0.28465966,0,0,0.033053887,0.011396813,0.088056807,0,0.192213046,0,0.708333333,1500,4,90,other,NY,Rochester
181,058f73e4ac40c67ae429b327e179dde13dd3df3a.csv,0,2,0.241473655,0.383028892,0.342486469,0,0,0.033010984,0,0,0,0.95507999,0,0.04492001,2000,3,0,detached,NY,Syracuse
186,05a5f90acfcd719d904c9535e591bad8c2a34be2.csv,0,1,0.002525253,0.596093511,0.376138277,0,0,0.02524296,0.054962504,0.001549587,0,0.014615856,0,0.928872054,3000,2,20,detached,NY,Webster
192,05c33d77e6064ed7f9d1ccecd0683bc552cb8af6.csv,0,1,0,0.690120906,0.283956994,0,0,0.0259221,0,0,0,0.970309152,0,0.029690848,2500,3,20,detached,NY,Webster
193,05cb7fd5a2f4bcef4898cadf2d58e892686734e3.csv,0,1,0.157221045,0.503560499,0.300955352,0,0,0.038263104,0.001588983,0.038214062,0,0.036840866,0,0.923356089,2500,2,65,other,NY,Rochester
194,05cf73a38b31da0ead00bec22c2bd534058bd6d8.csv,0,1,0,0.704636011,0.291379517,0,0,0.003984473,0,0,0,0.977563829,0,0.022436171,0,0,0,,NY,Southold
198,05e9488c68df4446bc0b41960bf801d2e0c2d6a8.csv,0,1,0.438845009,0.276032128,0.255093864,0,0,0.030028999,0,0,0,0.969971001,0,0.030028999,3000,3,57,rowHouse,NY,Selden
206,062db2fb7523b980b84e4b373840e79bb67a2dbf.csv,0,1,0,0.687146082,0.283947429,0,0,0.028906489,0,0,0.000994796,0.95659244,0,0.042412764,2500,3,50,other,NY,Cornwall
207,0633258d432aa949d84c43a3647c9d1d1a32ca56.csv,0,1,0,0.666274487,0.300658096,0,0,0.033067417,0.006676615,0,0,0.853650138,0,0.139673248,1500,1,0,apartment,NY,Wappingers Falls
212,064c488f3b25982005a634fa0874e6168369645f.csv,0,1,0,0.11338848,0.824918301,0,0,0.061693219,0,0,0,0.926664624,0,0.073335376,1500,3,70,detached,NY,Buffalo
218,066dc09295ff805cca7c0c8854f846be4f166c0c.csv,0,2,0.24937996,0.333629045,0.387248168,0,0,0.029742827,0.028693529,0.025269002,0,0.013936584,0,0.932100885,2000,3,17,detached,NY,West Henrietta
219,066fb9a14216983cddfe9592fca0030613b8935a.csv,0,1,0.246251145,0.414014805,0.312509539,0,0,0.027224512,0.049412393,0.032871642,0,0.243332189,0,0.674383776,2000,2,5,other,NY,Mattituck
222,06850dd8a3b9d1bca91852583dcc97fb1efea789.csv,0,1,0.229929792,0.371623168,0.370669261,0,0,0.027777778,0,0,0,0.042124542,0,0.957875458,2000,4,25,semiDetached,NY,Staten Island
225,06a9397544724a9d55ac63eefecac9ecccd25b2f.csv,0,1,0,0.680755876,0.289205586,0,0,0.030038538,0,0,0,0.410781059,0,0.589218941,2500,2,15,multiPlex,NY,Manlius
229,06cf2598a557bfc546157cbe8b93d99b6111d66d.csv,0,1,0.106723138,0.554859203,0.306967338,0,0,0.031450321,0.003214667,0.006658272,0.000581883,0.483774038,0,0.505771139,4000,4,10,detached,NY,New York
234,06fabb8856f936a59347d67ceba92f32774b667b.csv,0,1,0.260502049,0.438609973,0.271971767,0,0,0.028916211,0.025728597,0.024817851,0,0.045451958,0,0.904001594,1501,2,19,Detached,NY,Hilton
235,07005d27df0af8fd05dd6fc5bb873df002d16126.csv,0,1,0,0.53132716,0.458294753,0,0,0.010378086,0,0,0,0.02179784,0,0.97820216,2001,2,99,Other,NY,North Tonawanda
241,071a892b29223e0931f82e212ddacfebe2070fbb.csv,0,1,0.499779997,0.334997704,0.135808846,0,0,0.029413453,0,0,0,0.959949878,0,0.040050122,1500,1,50,detached,NY,Orient
250,075347b37deafb2b7bb8673ba691208905c804a0.csv,0,1,0,0.666160491,0.276506715,0,0,0.057332793,0,0,0,0,0,1,501,1,9,Apartment,NY,New York
251,0753a07ae27fca3ef63a54076d29f15ab3fb8fe1.csv,0,1,0.288433578,0.428212045,0.252745256,0,0,0.030609122,0.017839379,0.063399143,0,0.051834634,0,0.866926844,2000,3,65,rowHouse,NY,New York
252,07565e33068f79fcb78b599c01a7b377f2afc1a0.csv,1,1,0.17600945,0.453268184,0.311175544,0,0,0.059546821,0.036350945,0.07399055,0,0.11341996,0,0.776238545,2500,3,35,detached,NY,Perinton
258,077acda66834d523204fd5199100542d576e9cc7.csv,0,1,0.260054182,0.43359852,0.277367598,0,0,0.028979701,0,0,0,0.221001221,0,0.778998779,2000,3,67,detached,NY,Churchville
262,07a46d3d32546430284f5ceb0ff9de03d0b8786a.csv,0,1,0,0.688291743,0.28331044,0,0,0.028397817,0,0,0,0.971602183,0,0.028397817,4500,3,0,detached,NY,Sag Harbor
264,07b9ee0397fd311003dd8dd31d8e55ee0b8d13dc.csv,0,1,0.256524725,0.283711081,0.414692079,0,0,0.045072115,1.91E-05,0.005427732,0,0.033882784,0,0.960670406,2500,3,10,detached,NY,Troy
266,07c4445235c356183173e5922c8cef573356617b.csv,0,1,0,0.586691087,0.384729853,0,0,0.02857906,0.006000076,0,0,0.850379655,0,0.143620269,3000,2,15,,NY,Fishers Island
269,07cb4edfcf3f2194cbf72f46cbfb4734bcd66957.csv,0,1,0.16307966,0.676050275,0.135674931,0,0,0.025195133,0.048027625,0.070917508,0,0.264654117,0,0.61640075,2000,2,60,detached,NY,East Rochester
276,0814d9aaa8fab100cb9cd19401044766cec0699a.csv,0,1,0.137731481,0.550055479,0.278983012,0,0,0.033230028,0.065417432,0.070209672,0,0.042192761,0,0.822180135,2500,2,20,other,NY,Lancaster
279,082a1c3d24381c3485f71d6343f7dd4a0e7a5d40.csv,0,1,0,0.690159167,0.284463958,0,0,0.025376875,0,0,0,0.974623125,0,0.025376875,2500,3,80,detached,NY,Flushing
282,08313c4eecac2f0306f8814498f1852e88e6b7e6.csv,0,1,0.536912687,0.217190848,0.216750842,0,0,0.029145623,0.004247016,0.029509106,0,0.69212963,0,0.274114249,2500,2,35,other,NY,Medford
284,0832654c5de16b39e6aafdc5132248be2e3a4829.csv,0,1,0,0.581158425,0.386113019,0,0,0.032728556,0,0,0,0.232581654,0,0.767418346,2000,3,60,detached,NY,North Babylon
287,08468fb34fa3ccfc25e880e20f8799209293f014.csv,0,1,0,0.684741512,0.283236883,0,0,0.032021605,0.357638889,0,0,0.159982639,0,0.482378472,4500,3,0,detached,NY,Somers
289,084bd441b4303518b16266201ab6fc42a74f437f.csv,0,1,0,0.586987297,0.229291016,0,0,0.183721687,1.91E-05,0,0,0.446701867,0,0.553279002,2500,2,50,detached,NY,Old Bethpage
290,085d122132c8c868e365711341b84ff982513fea.csv,0,2,0,0.470171322,0.399477259,0,0,0.130351419,0.020318223,0,0,0.016178266,0,0.96350351,2500,2,30,detached,NY,Clifton Park
291,085dc1f465d40eca2914dfb3fdc3c6033f38e95b.csv,0,1,0.290509259,0.443411387,0.240530303,0,0,0.025549051,0.063016529,0.071874043,0,0.004715718,0,0.86039371,3000,3,100,townhouse,NY,New York
293,086a58e5356faddba032cc957c06296c05989e3b.csv,0,1,0.134605846,0.549011752,0.276795253,0,0,0.039587149,0,0,0,0.002871261,0,0.997128739,2000,2,98,detached,NY,Yonkers
298,087e0d9fe50bc68c4836c3f13343c0b4f5ac5cbe.csv,0,1,0.199006333,0.470189998,0.25970008,0,0,0.071103589,0.019946131,0.002456868,0,0.185102279,0,0.792494722,2500,2,5,other,NY,Clifton Park
302,08a4bcdecb890a517d3f78b0a3d74917e5c93c5d.csv,0,1,0,0.583874882,0.408299593,0,0,0.007825525,0,0,0,0.651321833,0,0.348678167,2000,3,90,detached,NY,Buffalo
303,08aa704b9bccd9ca116991fa37828c05cc221d1a.csv,0,1,0.420056883,0.308270762,0.267292378,0,0,0.004379977,0.033026166,0.058998862,0,0.051240046,0,0.856734926,2000,2,70,detached,NY,Islip Terrace
304,08bae4fab82841ae1a5d0ae6cc523e79897b4e83.csv,0,1,0,0.450799906,0.383268635,0,0,0.165931459,0.04915108,0,0,0.204985688,0,0.745863232,3500,4,120,detached,NY,Walton
308,08dcae04b47eb944600772d1e4ebbf4fe0c983c6.csv,0,1,0.40269257,0.140869973,0.421821745,0,0,0.034615712,0,0,0,0.011577624,0,0.988422376,0,0,0,,NY,Rhinebeck
322,0924ed4fed6f44dc1743b3e001444b5dd27d5e60.csv,0,1,0,0.667800161,0.276156451,0,0,0.056043388,0.002740473,0,0,0.055828168,0,0.941431359,1000,1,0,apartment,NY,???xb0?????
325,094db32b4392556857341e49ae316bb548a52b8f.csv,0,1,0.200578068,0.460823031,0.309542888,0,0,0.029056013,0.015443758,0.026766636,0,0.031278617,0,0.926510989,1500,3,67,other,NY,Seaford
330,096c2d82aff32cfdb2a86bb5b601b77d76dfbfbf.csv,0,1,0,0.7033839,0.289790206,0,0,0.006825894,0,0,0,0.074173829,0,0.925826171,0,1,55,,NY,PORT JEFF STATION
332,097a59b6a89de449cea0b4a39870810037ded177.csv,0,1,0.216827365,0.489372896,0.266758494,0,0,0.027041246,0.050992883,0.04558846,0,0.107208448,0,0.796210208,3500,3,30,other,NY,Somers
338,099b2f39b91e68e2f56fc828372e34f2c284e801.csv,0,1,0,0.646569865,0.327010637,0,0,0.026419498,0,0,0,0.128510484,0,0.871489516,2000,1,15,detached,NY,Pendleton
340,099da4f329cc1d19f7cc7199694074f37f75e8f5.csv,0,1,0.133168809,0.405465641,0.435156489,0,0,0.02620906,0,0.002821778,0,0.242825987,0,0.754352234,2500,3,10,rowHouse,NY,South Glens Falls
343,09b9a19bc341ae3624ed6c68b363d799cbc2aade.csv,0,1,0.203301959,0.365128558,0.404203015,0,0,0.027366468,0.003481788,0.003797444,0,0.888123661,0,0.104597107,2500,3,10,detached,NY,Southeast
344,09bcd7ad38b4e394c2fa7458c23dab636b3ef7a3.csv,0,2,0,0.637810974,0.330576542,0,0,0.031612485,0,0,0,0.81547619,0,0.18452381,2500,3,40,rowHouse,NY,Salina
345,09bfedb7aa5c7a6acd6112af3645e075f9fe9d2f.csv,0,1,0,0.32644644,0.291657075,0,0,0.381896486,0.014521946,0.178934546,0,0.142620089,0,0.663923419,2000,3,80,detached,NY,Franklin Square
348,09ca1ca04bf1f1330a4c497756808a509aff52d5.csv,0,1,0.289539454,0.427779686,0.254139957,0,0,0.028540904,0.02785409,0.103231838,0,0.012276786,0,0.856637286,2700,4,0,townhouse,NY,New York
349,09d02249f8bd9f40fe6db20eb5c416556a09ee70.csv,0,1,0.208658555,0.415891873,0.265811524,0,0,0.109638047,0.037505739,0.017265458,0,0.357017141,0,0.588211662,3000,3,0,other,NY,Vestal
350,09d0aae824489505cab13d5e33f58a942d86e1d5.csv,0,1,0.067681111,0.600207947,0.276569437,0,0,0.055541505,0,0,0,0.065053673,0,0.934946327,3000,3,5,detached,NY,Greenfield
353,09ed1f19bcbf5824d4e92964740f1046932610f0.csv,0,2,0,0.973389195,0,0,0,0.026610805,0.099728344,0,0,0.788290098,0,0.111981558,3000,3,35,,NY,Lysander
354,09f2d19eb577aba596c64ad8695818d0275fcba6.csv,0,0,0.217452686,0.375639118,0.379407051,0,0,0.027501145,0,0,0,0.022931929,0,0.977068071,4000,2,45,detached,NY,Purchase
363,0a4ecb74aa8cbc3f2730dfd0e4acf9f2b15f5c44.csv,0,1,0,0.732284971,0.244098179,0,0,0.02361685,0.013850627,0,0,0.063408708,0,0.922740664,2000,3,65,detached,NY,Yonkers
367,0a76523524739ee7f78bb8b4b3128722afb60182.csv,0,1,0,0.626386457,0.258464682,0,0,0.115148862,0,0,0,0.882953882,0,0.117046118,0,0,0,,NY,Woodbury
374,0aa52f84dc07aabd47f0bf7a08383df1996ab8fd.csv,0,1,0.108745421,0.578821352,0.279800061,0,0,0.032633165,0.05262706,0.023275336,0,0.060773428,0,0.863324176,2300,3,30,detached,NY,Webster
377,0abee7c5442074dfa5592ad378cda30c9b619cb4.csv,0,1,0.001068376,0.550604777,0.319110577,0,0,0.12921627,0.001554869,0,0,0.79708486,0,0.201360272,2000,3,25,detached,NY,victor
379,0ac882f50d12f4a4515142ef1ac33b23d0b2b339.csv,0,1,0,0.636393139,0.264928141,0,0,0.09867872,0,0,0,0.874895688,0,0.125104312,0,0,0,,NY,Old Forge
382,0af96e5a79fb10973be78e4c951775f481edf183.csv,0,1,0.200347222,0.350744048,0.440079365,0,0,0.008829365,0,0,0,0.57797619,0,0.42202381,0,0,0,,NY,Holbrook
383,0afab7e172c5df1a88600c6f7b19f8d8d30575ed.csv,0,1,0,0.634220998,0.339522115,0,0,0.026256887,0,0,0,0.169182354,0,0.830817646,2500,4,90,detached,NY,rochester
386,0b0f7d99e69c111c565770fdd0326911f192d27f.csv,0,1,0,0.690465259,0.284550046,0,0,0.024984695,0,0,0,0.967343893,0,0.032656107,4000,3,30,detached,NY,Warwick
389,0b291d8594266e2cffb88f8ddafcebbf1abab584.csv,0,1,0,0.592738858,0.379092262,0,0,0.02816888,0.097460699,0,0,0.419728709,0,0.482810592,2900,3,0,multiPlex,NY,Onondaga
392,0b4502e1010c3f7f2a284e14ef3c1681ce2c36c6.csv,0,1,0.232532751,0.371371693,0.308309787,0,0,0.087785769,0.029711448,0.053985786,0,0.015241031,0,0.901061735,1500,2,30,detached,NY,Sound Beach
393,0b4f82a35d3ec21cd5e67bd4a8deda9b75210b4d.csv,0,0,0,0.284080255,0.280455028,0,0,0.435464717,0.000406275,0,0,0.631476967,0,0.368116757,4000,2,5,detached,NY,Highland Mills
394,0b543ccf2417e610c5262c5646a9c001455a7699.csv,0,1,0,0.157741013,0.252379493,0,0,0.589879493,0,0,0,0.392871732,0,0.607128268,1000,1,10,apartment,NY,Ossining
397,0b6071b6b3f48573329e2fa4a75d37f7a99f3d31.csv,0,2,0,0.575183655,0.398521197,0,0,0.026295148,0,0,0,0.097614402,0,0.902385598,1500,3,50,detached,NY,Henrietta
411,0bc0400b9a943839960075563b76f3670017d01b.csv,0,1,0.213417659,0.388144841,0.369629502,0,0,0.028807998,0.007888813,0.017733135,0,0.211643391,0,0.762734661,1500,2,60,detached,NY,Horseheads
412,0bc0425a20bd03d970ce431ae93506f32299ded4.csv,0,1,0.29214362,0.285723825,0.392799908,0,0,0.029332647,0.020861951,0.054544414,0,0.048429869,0,0.876163767,2500,2,40,detached,NY,Rochester
421,0bec64952ccbd8f4d9f75ba5317baacbdd39af2b.csv,0,1,0,0.690369605,0.284626569,0,0,0.025003826,0,0,0,0.606988445,0,0.393011555,2500,2,35,other,NY,Rocky Point
422,0bec8ec5375888494383c9f94103127a26f6d9f6.csv,0,1,0,0.611359127,0.360271673,0,0,0.0283692,0.193004045,0,0,0.164386828,0,0.642609127,2000,2,100,other,NY,Lockport
424,0bff7fc6c3a5260df5829d57be2e9fef778ed08b.csv,0,1,0.173592033,0.51366949,0.282375611,0,0,0.030362866,0.008155907,0.089686355,0,0.108650031,0,0.793507708,2500,2,47,detached,NY,Poughkeepsie
429,0c2bd8598575df620375b322a2efc931bafe5b13.csv,0,1,0.193047903,0.411931818,0.369012091,0,0,0.026008188,0.00547138,0.000899143,0,0.32982285,0,0.663806627,0,0,0,,NY,Penfield
430,0c321d11cdedacc49d137fab989c8ab2abfd9cf0.csv,0,1,0,0.627804487,0.339753129,0,0,0.032442384,0,0,0,0.020394536,0,0.979605464,2500,3,40,detached,NY,Chappaqua
433,0c497fc8bf140a5e4c5230500f46039202533dc5.csv,0,1,0,0.670780724,0.284753788,0,0,0.044465488,0.00022096,0,0,0.950178872,0,0.049600168,2000,2,0,detached,NY,Ulster Park
435,0c61c3dcb61b88dd9343d0ade403280193c60999.csv,0,1,0.213801564,0.467315369,0.28208167,0,0,0.036801397,0.0062999,0.061169328,0,0.223532102,0,0.708998669,0,0,0,,NY,Buffalo
439,0c98cb812420df12138626fa8f8195e63d76ecf4.csv,0,1,0,0,0,0,0,1,0,0,0,0.769733318,0,0.230266682,3000,3,100,detached,NY,Syracuse
442,0cb92953553c297841ccff066cfd696dbb015597.csv,0,1,0.484613477,0.142628205,0.342166514,0,0,0.030591804,0.008012821,0.077657585,0,0.02918956,0,0.885140034,500,1,0,,NY,Hempstead
450,0cefddf2ce1d185f527d7c7839c2335abe2dce54.csv,0,1,0,0.699911561,0.27129756,0,0,0.028790879,0,0,0,0.971170669,0,0.028829331,0,0,0,,NY,New York
451,0cf035728fc40274c1cde00fb4b14cbb3674844f.csv,0,2,0,0.643219628,0.316840278,0,0,0.039940095,0,0,0,0.960059905,0,0.039940095,2000,1,10,apartment,NY,ridgewood
457,0d0ccec54ff349b4953c4006363a4bb1c767d6dd.csv,0,1,0,0.685376492,0.280666514,0,0,0.033956994,0.002563514,0,0,0.77948041,0,0.217956076,2000,2,30,condominium,NY,Clifton Park
460,0d2afcc471ee9685e0ace6598b940782d2d3a74f.csv,0,1,0,0.668443548,0.325577486,0,0,0.005978966,0.013854872,0,0.002545262,0.935251885,0,0.048347981,2000,3,30,townhouse,NY,New York
463,0d3fed222d05ea4985dba9f430a618b464e20400.csv,0,1,0,0.6796875,0.292162698,0,0,0.028149802,0,0,0,0.971850198,0,0.028149802,1600,3,0,detached,NY,holbrook
468,0d69a215523f9cff2098f352ce8408306fc26a98.csv,0,1,0.136668019,0.555059524,0.266154852,0,0,0.042117605,0,0,0,0.063717532,0,0.936282468,2000,2,95,Detached,NY,Glendale
477,0d9cf7182e996c1d6bf145188ca04ca132fa1a15.csv,0,1,0,0.561160851,0.413357055,0,0,0.025482094,0.058348638,0,0,0.018327212,0,0.923324151,3000,3,45,detached,NY,Endicott
480,0d9fe226de37c6d5ab458bb04dcb664c9f02d7e4.csv,0,1,0,0.480826465,0.399334173,0,0,0.119839362,0,0,0,0.114602411,0,0.885397589,1000,1,5,apartment,NY,Fairport
481,0dbe406bda12f062315862fad9e2d7e0d1d848ef.csv,0,2,0.330731558,0.257135751,0.289284894,0.080540251,0,0.042307545,0,0,0,0.578225436,0,0.421774564,1500,2,30,townhouse,NY,QUEENSBURY
484,0df1b00c57fb41d777ef2c86c5e8a81429beae10.csv,0,1,0,0.318490537,0.363600809,0,0,0.317908654,0,0,0,0.034512363,0,0.965487637,2500,3,70,other,NY,Katonah
487,0e0bc7b3ca48b2ae4025f8f7c1bdfcd37eacfb22.csv,0,1,0,0.94091483,0.03466483,0,0,0.02442034,0,0,0,0.744442531,0,0.255557469,1500,2,110,,NY,Pittsford NY 14534
490,0e1148bb25fc1d890701a978b44df928321a6b7e.csv,0,1,0.177370294,0.479463193,0.316192225,0,0,0.026974288,0.016471534,0.06385828,0,0.057258188,0,0.862411999,2500,3,10,detached,NY,Webster
492,0e165be0cfc6eb2d0d0afea969682f90ae3d155e.csv,0,1,0,0.687203474,0.284435262,0,0,0.028361264,0,0,0,0.971208295,0,0.028791705,2500,2,45,detached,NY,New York
496,0e34ac679c9fe2a31b715f129c310db32ccd86e9.csv,0,1,0,0.680584252,0.28042738,0,0,0.038988369,0,0,0,0.025606443,0,0.974393557,4800,2,120,detached,NY,Waterloo
498,0e3e1df5193527459d68d90d1e5c013ff9e75e61.csv,0,1,0.145163759,0.480917126,0.348637894,0,0,0.025281221,0.021129859,0.029011708,0,0.258790557,0,0.691067876,3000,2,30,,NY,MAHOPAC
500,0e452f323dc312570ad6a6afef51b8361c665550.csv,0,2,0,0.28258547,0.28587645,0,0,0.43153808,0.000314789,0,0,0.233955281,0,0.76572993,3500,2,120,detached,NY,Kingston
503,0e520ba0c03af5d292f00693b44e1bde1a223111.csv,0,1,0,0.348066298,0.37618938,0,0,0.275744322,0,0,0,0.310850215,0,0.689149785,2500,2,35,,NY,Tappan
506,0e611e55b3d88695c728b12f19fe846d263b6010.csv,0,1,0.190666972,0.523380266,0.2456788,0,0,0.040273962,0.021253053,0.098872482,0,0.001402244,0,0.878472222,2000,2,85,detached,NY,Elmhurst
511,0ea0c0b8be80013eac4ff32f644db7745cdb0a25.csv,0,1,0.105444706,0.580865039,0.282562895,0,0,0.03112736,0.007962573,0.036156897,0,0.032015533,0,0.923864998,2500,1,70,other,NY,Fayetteville
512,0ea4db04f6e2f859857de1d83cf14571bcfdf8c7.csv,0,1,0.260301882,0.43054599,0.281135216,0,0,0.028016912,0.009201867,0.075881925,0,0.018748087,0,0.896168121,3000,4,70,semiDetached,NY,Brooklyn
