,filename,compStages,auxStages,Away %,Home %,Sleep %,Awake %,TOU %,Custom Schedule %,Smart Away %,Smart Home %,DR %,Hold %,TOU Event %,Custom Event %,Sq. Ft.,Floors,Age,Style,State,City
5618,a789c3706e6d615ed2ec5ff8f421f20ff65c11a0.csv,0,1,0.387788874,0.161348332,0.422252831,0,0,0.028609963,0.011927992,0.050935491,0,0.054465106,0,0.882671411,1000,1,90,rowHouse,NY,brooklyn
5622,a7b6c1bc4960b3097163b3e6225d01ac2dd2fa02.csv,0,1,0.242663376,0.452163682,0.267313284,0,0,0.037859657,0.012702785,0.007260101,0,0.03030303,0,0.949734083,3200,4,0,other,NY,Pittsford
5626,a7cda4197c2e07e2c2163171c2bbfa1e1133044a.csv,0,1,0,0.657825546,0.311737315,0,0,0.030437139,0.069845857,0,0,0.051009554,0,0.879144589,1501,3,39,Townhouse,NY,Nanuet
5627,a7d8ddc92a840a0b6191b02ffc7cf5f9c58f85f9.csv,0,1,0.403218207,0.260047935,0.303087103,0,0,0.033646755,0.041144297,0.101278269,0,0.04530277,0,0.812274664,4000,4,120,detached,NY,Bayport
5631,a7f363976fcdc051c63f9a60d963ec8d6a718e6f.csv,0,1,0,0.655809994,0.318880089,0,0,0.025309917,0.003740052,0,0,0.361570248,0,0.6346897,1000,1,95,semiDetached,NY,Brooklyn
5634,a81a2fc5618e74ac63126651e4d145afff300d34.csv,0,1,0,0.684048308,0.280727135,0,0,0.035224557,0,0,0,0.959816748,0,0.040183252,2001,2,19,Other,NY,Southampton
5635,a81f18d0aa400a40a149c021b0334aeae584aeff.csv,0,1,0,0.603875106,0.38687447,0,0,0.009250424,0,0,0,0.943225191,0,0.056774809,1001,1,49,Row House,NY,North Bellmore
5636,a82637239226e1a9aff5d50c577276aa96dba748.csv,0,2,0,0.575958448,0.351172712,0,0,0.07286884,0.116783364,0,0,0.071960132,0,0.811256504,3500,3,110,detached,NY,Blue Point
5641,a8406e6bad29c21b58ddcfeee6097ea12e5a2896.csv,0,1,0,0.555756428,0.41443794,0,0,0.029805632,0.001071319,0,0,0.751033058,0,0.247895623,4000,4,115,townhouse,NY,New York
5653,a89bc82c9d5b3d9e5f078af2fbd3e713c2884629.csv,0,1,0,0.612942613,0.281746032,0,0,0.105311355,0,0,0,0.060229701,0,0.939770299,3500,2,40,detached,NY,Katonah
5657,a8bff3f284f87101729ecc2faebc7457a81c6160.csv,0,1,0,0.715918656,0.258159244,0,0,0.0259221,0.331716789,0,0,0.04421105,0,0.624072161,4000,3,25,other,NY,St James
